"Boundary
Code",Road Code,Road Name,Selection
BC171,R00011NR,Bacolod South Rd,1
BC156,R00011NR,Bacolod South Rd,1
BC169,R00011NR,Bacolod South Rd,1
BC170,R00011NR,Bacolod South Rd,1
BC155,R00011PN,Sn Jose Airport Rd,1
BC124,R00011PW,Quezon-Aramaywan Rd,1
BC246,R00011SG,Sayak Airport,1
BC196,R00011SM,Imelda-Barangay La Trinidad Rd,1
BC126,R00011TL,Odiongan-East-West Rd,1
BC174,R00012BH,Tagbilaran City-Corella-Sikatuna-Loboc Rd,1
BC172,R00012BH,Tagbilaran City-Corella-Sikatuna-Loboc Rd,1
BC128,R00012BL,Basilan Circumferential Rd (Isabela-Lamitan Rd),1
BC251,R00012BL,Basilan Circumferential Rd (Isabela-Lamitan Rd),1
BC183,R00012CB,Cebu-Balamban Transcentral Highway,1
BC184,R00012CB,Cebu-Balamban Transcentral Highway,1
BC177,R00012CB,Cebu-Balamban Transcentral Highway,1
BC191,R00012LT,Mainit-Sn Miguel-Santol Rd,1
BC144,R00012LZ,Iriga City-Sagrada-Sn Ramon-Hanawan Rd,1
BC120,R00012MQ,Tigwi-Dampulan-Lipata-Yook-Buenavista  Rd,1
BC149,R00012MT,Masbate Circumferential Rd,1
BC171,R00012NR,Bacolod South By-Pass Rd,1
BC155,R00012PN,Malandog-Buhang Rd,1
BC124,R00012PW,Quezon-Punta Baja Rd,1
BC246,R00012SG,Jct. Nat'l Rd-Antipolo-Tuboran-Quezon-Mabini Rd,1
BC126,R00012TL,Parpagoha (Marigondon)-Binoog Rd,1
BC173,R00013BH,Sagbayan-Danao Rd,1
BC251,R00013BL,Basilan Circumferential Rd (Maluso-Isabela Rd),1
BC128,R00013BL,Basilan Circumferential Rd (Maluso-Isabela Rd),1
BC183,R00013CB,Camp Lapu-Lapu Rd,1
BC191,R00013LT,Bagahupi-Babatngon-Sta Cruz-Barugo-Carigara Rd,1
BC192,R00013LT,Bagahupi-Babatngon-Sta Cruz-Barugo-Carigara Rd,1
BC144,R00013LZ,Pili-Airport Rd,1
BC120,R00013MQ,Masiga Airport Rd,1
BC150,R00013MT,Placer-Daraga Rd,1
BC171,R00013NR,Bacolod South Rd (Gen Luna-Bago High School Rd),1
BC155,R00013PN,Atabay-Inabasan Rd,1
BC125,R00013PW,Puerto Princesa Wharf Rd,1
BC126,R00013TL,Jct Linawan-Mablaran Falls Rd,1
BC172,R00014BH,Balilihan-Hanopol-Batuan Rd,1
BC174,R00014BH,Balilihan-Hanopol-Batuan Rd,1
BC183,R00014CB,F Sotto Drive,1
BC144,R00014LZ,Naga City Bdry-Calabanga-Balongay Rd,1
BC149,R00014MT,Asid-Cagay Rd,1
BC169,R00014NR,Talaban By-Pass Rd,1
BC155,R00014PN,Sibalom-Pisanan Rd,1
BC125,R00014PW,Capitol-Canigaran Rd,1
BC196,R00014SM,Allen-Catarman Rd,1
BC126,R00014TL,Lubi-Binoog Rd,1
BC174,R00015BH,Loay Interior Rd,1
BC173,R00015BH,Loay Interior Rd,1
BC183,R00015CB,Archbishop Reyes Ave,1
BC192,R00015LT,Lemon-Leyte-Biliran Rd,1
BC193,R00015LT,Lemon-Leyte-Biliran Rd,1
BC147,R00015LZ,Sipocot-Cabusao Rd,1
BC134,R00015MN,Sindangan-Siayan-Dumingag-Mahayag Rd (Mahayag-Dumingag Sect),1
BC149,R00015MT,Masbate Port Rd,1
BC169,R00015NR,Himamaylan By-Pass Rd,1
BC155,R00015PN,Odiong-Sibalom-Sn Remigio-Leon Rd,1
BC196,R00015SM,Catarman-Laoang Rd,1
BC197,R00015SM,Catarman-Laoang Rd,1
BC126,R00015TL,Tugdan Airport Rd,1
BC174,R00016BH,Jct Dat-an-Carmen-Sierra Bullones-Pilar-Alicia Rd,1
BC183,R00016CB,Gov Cuenco Ave,1
BC141,R00016LZ,Quirino H-way,1
BC115,R00016LZ,Quirino H-way,1
BC131,R00016MN,Sindangan-Siayan-Dumingag-Mahayag Rd (Sindangan-Siayan Sect),1
BC149,R00016MT,Capitol-Cadre Rd,1
BC169,R00016NR,Su-ay By-Pass Rd,1
BC155,R00016PN,Sn Remigio-Bugo Rd,1
BC125,R00016PW,Malvar Rd,1
BC197,R00016SM,Laoang-Calomotan Rd,1
BC126,R00016TL,Jct Guinhayaan-Malbog Port Rd,1
BC174,R00017BH,Jct (TER)-Jagna-Sierra Bullones Rd,1
BC183,R00017CB,Old Cadre Rd,1
BC192,R00017LT,Palo-Ormoc via Jaro Poblacion Rd,1
BC143,R00017LZ,Danao-Pasacao Rd,1
BC149,R00017MT,Lagta-Crossing Malinta Rd,1
BC171,R00017NR,Jct Pulupandan-Pulupandan Pier Rd,1
BC197,R00017SM,Pangpang-Palapag-Mapanas-Gamay-Lapinig Rd,1
BC183,R00018CB,F Cabahug Ext/F Cabahug Br,1
BC144,R00018LZ,Naga City Bdry-Camaligan Fishing Port Rd,1
BC149,R00018MT,M.R. Espinosa Airport Rd,1
BC156,R00018NR,Sum-ag-Abuanan Rd,1
BC171,R00018NR,Sum-ag-Abuanan Rd,1
BC155,R00018PN,Hamtic-Bia-an-Egaña-Sibalom Rd,1
BC125,R00018PW,Irawan-Tagburos Rd,1
BC196,R00018SM,Allen Old Rd,1
BC126,R00018TL,Carmen Port Rd,1
BC183,R00019CB,H Cortez Ext,1
BC192,R00019LT,Jaro-Dagami-Burauen-Lapaz Rd,1
BC149,R00019MT,Malubi-Mataba Rd,1
BC171,R00019NR,Bago-Mambucal Rd,1
BC155,R00019PN,Anini-y-Tobias Fornier Rd,1
BC125,R00019PW,Tapul-Bahile Rd,1
BC196,R00019SM,Catarman Div Rd 1,1
BC126,R00019TL,San Agustin Port Rd,1
BC174,R00020BH,Jct (LIR) Carmen-Sagbayan-Bacani Rd,1
BC173,R00020BH,Jct (LIR) Carmen-Sagbayan-Bacani Rd,1
BC183,R00020CB,Gen Maxilom Ext,1
BC149,R00020MT,Mandaon-Aroroy Rd,1
