"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS29002MN,FB43501MN,Zambowood Bridge,0
FS29002MN,FB43518MN,Zambowood Bridge 2,0
FS15064MN,FB57082MN,Br. 1_2023,0
FS15064MN,FB57081MN,Br. 1_2023,0
FS15064MN,FB57080MN,Br. 1_2023,0
FS15064MN,FB15064MN,Bridge 2019_A,0
FS17702MN,FB17702MN,Jct. T. Taupan Street (Suterville/Gavilan) Flyover,0
FS17701MN,FB17701MN,Governor Camins/MCLL Highway and Veterans Avenue Flyover,0
S00639MN,FB02266MN,Magubo Br.,0
FS15083MN,FB15002MN,Bridge 1,0
FS15083MN,FB18083MN,Bridge 5,0
FS15083MN,FB15083MN,Bridge 4,0
FS15083MN,FB15283MN,Bridge 1,0
FS15083MN,FB15003MN,Bridge 2,0
FS15083MN,FB15004MN,Bridge 3,0
FS15176MN,FB15185MN,Bridge 1,0
FS15071MN,FB18071MN,Bridge 1,0
FS15083MN,FB57075MN,Br. 1_2023,0
FS15176MN,FB15576MN,Bridge 1,0
FS15176MN,FB33022MN,Bridge 3,0
FS15083MN,FB57076MN,Br. 1_2023,0
FS15176MN,FB15244MN,Bridge 2,0
FS03258MN,FB00194MN,Br. 4,0
FS03258MN,FB00192MN,Br. 2,0
FS03258MN,FB00260MN,Br. 1,0
FS03258MN,FB00195MN,Br. 5,0
FS03258MN,FB00193MN,Br. 3,0
FS15176MN,FB15284MN,Bridge 2019_A,0
FS15284MN,FB00147MN,Bridge 1,0
FS33336MN,FB15091MN,Bridge 2,0
FS15175MN,FB94007MN,Bridge 1,0
FS15175MN,FB13224MN,Bridge 1,0
FS15175MN,FB15175MN,bridge 1,0
FS15175MN,FB94011MN,Bridge 1,0
FS15175MN,FB15182MN,Bridge 6,0
FS15175MN,FB17676MN,Bridge 8,0
FS15175MN,FB15177MN,Bridge 3,0
FS15175MN,FB15179MN,Bridge 4,0
FS15175MN,FB15176MN,Bridge 2,0
FS15175MN,FB15181MN,Bridge 5,0
FS15175MN,FB17675MN,Bridge 7,0
FS33334MN,FB57056MN,Br. 1_2023,0
FS33336MN,FB57058MN,Br. 1_2023,0
FS33336MN,FB57057MN,Br. 1_2023,0
FS33334MN,FB44402MN,Bantal Br.,0
FS33334MN,FB44403MN,Maapag Br.,0
FS30108LZ,FB00130LZ,Namnam Br. 2,0
FS30108LZ,FB00129LZ,Namnam Br. 1,0
FS33334MN,FB44405MN,Impalutao Br.,0
FS33334MN,FB44404MN,Dumalaguing Br.,0
S00635MN,FB11635MN,Bangcud Br.,0
FS15071MN,FB92763MN,Malaybalay Bypass Bridge,0
FS15284MN,FB15284MN,Valencia Bypass Road Extension,0
FS29604MN,FB44401MN,Bridge 1,0
FS15018MN,FB15098MN,Bridge 2,0
FS15018MN,FB15097MN,Bridge 1,0
FS15018MN,FB00130MN,Tugop Br.,0
FS03224MN,FB18826MN,Bridge 2,0
FS15091MN,FB00199MN,Br. 4,0
FS15091MN,FB00200MN,Br. 5,0
FS15158MN,FB00128MN,Bridge 2,0
FS29605MN,FB00120MN,Bridge 1,0
FS15158MN,FB00127MN,Bridge 1,0
FS22338MN,FB00235MN,Bobong Br.,0
FS22338MN,FB00236MN,New Visayas Br.,0
FS22339MN,FB70116MN,Tandong Br.,0
FS22339MN,FB00237MN,San Vicente Br.,0
FS00118MN,FB00238MN,Bridge 1,0
FS15178MN,FB13228MN,Bridge 1,0
FS15178MN,FB17678MN,Bridge 4,0
FS15178MN,FB15178MN,Bridge 1,0
FS15178MN,FB15188MN,Bridge 3,0
FS15178MN,FB15186MN,Bridge 2,0
S00654MN,FB70141MN,Sinuda Br.,0
S00647MN,FB11647MN,Kulaman Parallel Br.,0
FS33337MN,FB33337MN,Bridge 1,0
FS33335MN,FB33336MN,Bridge 1,0
FS33335MN,FB33335MN,Viaduct 1,0
S00654MN,FB30031MN,Pulangi Parallel Br.,0
FS70101MN,FB70102MN,Bridge 1,0
FS70101MN,FB70104MN,Bridge 3,0
FS70101MN,FB70103MN,Bridge 2,0
FS70105MN,FB70107MN,Bridge 2,0
FS70105MN,FB70108MN,Bridge 3,0
FS70105MN,FB70106MN,Bridge 1,0
FS70105MN,FB70110MN,Bridge 5,0
FS70105MN,FB70109MN,Bridge 4,0
FS29401MN,FB44101MN,Bridge 1,0
FS29401MN,FB44102MN,Bridge 2,0
FS15082MN,FB15001MN,Bridge 1,0
FS15082MN,FB44400MN,Bridge 1,0
FS15082MN,FB15582MN,Bridge 1,0
FS03214MN,FB03214MN,Bridge 1,0
FS15177MN,FB17681MN,Bridge 3,0
FS15177MN,FB17679MN,Bridge 1,0
FS15177MN,FB17680MN,Bridge 2,0
FS15177MN,FB22679MN,Bridge 4,0
FS50827MN,FB50827MN,Don Carlos Br.,0
FS15156MN,FB00129MN,Don Carlos Br.,0
FS15177MN,FB00221MN,Botay Br.,0
FS29403MN,FB00102MN,Colog Br.,0
FS15177MN,FB00222MN,Tagawili Br.,0
FS15177MN,FB44105MN,Panganan Br.,0
FS15177MN,FB44104MN,Digungan Br.,0
FS15153MN,FB00101MN,Damulog-Kadingilan Br.,0
S00652MN,FB70142MN,New Damulog Br.,0
